Configuration,Best Epoch,Val Accuracy,Val AUC,Val F1,Test Accuracy,Test AUC,Test F1,Final Train Loss,Final Val Loss
bracs_medical_ssl_config.yml,41,38.7097,0.6420,0.2781,50.0000,0.5981,0.3817,2.5362,2.5573
camelyon16_medical_ssl_config.yml,16,100.0000,1.0000,1.0000,94.5736,0.9255,0.9412,0.0165,0.0699
camelyon17_medical_ssl_config.yml,24,83.3333,0.8831,0.6561,79.5000,0.7952,0.4929,0.0456,1.0368
